MATRICULA;NOME;CARGO;CLASSE_CARGO;SETOR;NIVEL_CARGO;INFO_CARGO;ATIVIDADE;COD_ORG_LOTACAO;ORG_LOTACAO;COD_TIPO_VINCULO;TIPO_VINCULO;SITUACAO_VINCULO;REGIME_JURIDICO;JORNADA_DE_TRABALHO;DATA_INGRESSO;DATA FIM;UF_EXERCICIO;COD STATUS;STATUS;GENERO;SALARIO BASE;ADICIONAIS
7821550699; PINHEIRO DE HOLANDA;TECNICO EM CONTABILIDADE;D;Administrativo;1;0;Sem informação;26239;Centro Estudantil do Pará;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;11/01/2019;;PA;1;Ativo;Masculino;4449.2;458
8632175299; BATISTA DE OLIVEIRA;PEDAGOGO;E;Pedagógico;1;0;Sem informação;26230;Centro Estudantil do Vale do São Francisco;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;31/12/2008;;PE;1;Ativo;Feminino;9679.66;721.07
7282366399; MOURA CARDOSO LOPES;TECNICO EM CONTABILIDADE;D;Administrativo;1;0;Sem informação;26246;Centro Estudantil de Santa Catarina;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;20/12/2019;;SC;1;Ativo;Masc.;4157.95;722.06
8200685299; LUCAS ALVES PEREIRA;NUTRICIONISTA;E;Saúde;2;0;Sem informação;26232;Centro Estudantil da Bahia;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;23/07/2018;;BA;1;Ativo;Feminino;7127.47;458
7242449199; SOBRINHO DOS SANTOS;NUTRICIONISTA;E;Saúde;2;0;Sem informação;26243;Centro Estudantil do Rio Grande do Norte;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;02/06/2017;;RN;1;Ativo;Masculino;7405.44;691.45
8102054499; TORRES ARAUJO FILHO;TEC EM SEGURANCA DO TRABALHO;D;Serviços;2;0;Sem informação;26245;Centro Estudantil do Rio de Janeiro;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;26/06/2018;;RJ;1;Ativo;Feminino;6189;587
7362109599; BATISTA DE SIQUEIRA;PSICOLOGO;E;Saúde;3;0;Sem informação;26248;Centro Estudantil Rural de Pernambuco;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;01/02/1985;;PE;1;Ativo;Masc.;11817.21;458
8351791699; JERONIMO DOS SANTOS;TECNICO EM CONTABILIDADE;D;Administrativo;3;0;Sem informação;26244;Centro Estudantil do Rio Grande do Sul;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;01/09/2008;13/04/2018;RS;2;Desligado;Feminino;7803.45;16.05
7851613499; JOHN GOMES DA SILVA;PEDAGOGO;E;Pedagógico;2;0;Sem informação;26239;Centro Estudantil do Pará;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;28/03/2016;;PA;1;Ativo;Masculino;6837.25;458
7221506499; VASCONCELOS DE LIMA;TEC EM SEGURANCA DO TRABALHO;D;Serviços;3;0;Sem informação;26276;Centro Estudantil de Mato Grosso;2;Cargo;ATIVO PERMANENTE;REGIME JURIDICO UNICO;40 HORAS SEMANAIS;25/08/2014;;MT;1;Ativo;Feminino;3198.43;458
